"company_name","fiscal_year","operating_cash_flow","investing_cash_flow","financing_cash_flow","free_cash_flow"
Loblaw Companies Limited,2016,802500000,,,
Loblaw Companies Limited,2017,1673300000,,,
Loblaw Companies Limited,2018,1510200000,,,
Loblaw Companies Limited,2019,1766000000,,,
Loblaw Companies Limited,2020,1869800000,,,
Loblaw Companies Limited,2021,2716300000,,,
Loblaw Companies Limited,2022,1431500000,,,
Loblaw Companies Limited,2023,1614800000,,,
Loblaw Companies Limited,2024,2684500000,,,
Loblaw Companies Limited,2009,403100000,,,
George Weston Limited,2010,152799000,,,
George Weston Limited,2011,61452000,,,
George Weston Limited,2012,173343000,,,
George Weston Limited,2013,150269000,,,
George Weston Limited,2016,281731000,,,
George Weston Limited,2017,306520000,,,
George Weston Limited,2018,170557000,,,
George Weston Limited,2019,335771000,,,
George Weston Limited,2020,534379000,,,
George Weston Limited,2021,349566000,,,
George Weston Limited,2022,571964000,,,
George Weston Limited,2023,561954000,,,
George Weston Limited,2024,773102000,,,
George Weston Limited,2025,569613000,,,
George Weston Limited,2009,88287000,,,
George Weston Limited,2008,113473000,,,
Canadian Natural Resources Limited,2010,-312930,,,
Canadian Natural Resources Limited,2011,-523111,,,
Canadian Natural Resources Limited,2012,65552,,,
Canadian Natural Resources Limited,2013,-2683911,,,
Canadian Natural Resources Limited,2014,-2502927,,,
Canadian Natural Resources Limited,2015,-15560088,,,
Canadian Natural Resources Limited,2016,-4446830,,,
Canadian Natural Resources Limited,2017,-2465462,,,
Canadian Natural Resources Limited,2018,-1613475,,,
Canadian Natural Resources Limited,2019,-1850347,,,
Canadian Natural Resources Limited,2020,-4950108,,,
Canadian Natural Resources Limited,2021,-8978428,,,
Canadian Natural Resources Limited,2022,-6229034,,,
Canadian Natural Resources Limited,2023,-3793456,,,
Canadian Natural Resources Limited,2024,-2914072,,,
Canadian Natural Resources Limited,2025,-4668689,,,
Bank of Nova Scotia,2016,4536000000,,,
Bank of Nova Scotia,2017,16584000000,,,
Bank of Nova Scotia,2018,17811000000,,,
Bank of Nova Scotia,2019,-12025000000,,,
Bank of Nova Scotia,2020,56664000000,,,
Bank of Nova Scotia,2021,-12807000000,,,
Bank of Nova Scotia,2022,16943000000,,,
Bank of Nova Scotia,2023,31724000000,,,
Bank of Nova Scotia,2024,15652000000,,,
Bank of Nova Scotia,2025,5407000000,,,
Canadian Imperial Bank of Commerce,2010,34760000,,,
Canadian Imperial Bank of Commerce,2011,34015000,,,
Canadian Imperial Bank of Commerce,2012,46938000,,,
Canadian Imperial Bank of Commerce,2013,51373000,,,
Canadian Imperial Bank of Commerce,2014,53325000,,,
Canadian Imperial Bank of Commerce,2015,69458000,,,
Canadian Imperial Bank of Commerce,2016,53599000,,,
Canadian Imperial Bank of Commerce,2017,62727000,,,
Canadian Imperial Bank of Commerce,2018,86533000,,,
Canadian Imperial Bank of Commerce,2019,77813000,,,
Canadian Imperial Bank of Commerce,2020,165270000,,,
Canadian Imperial Bank of Commerce,2021,147231000,,,
Canadian Imperial Bank of Commerce,2022,114291000,,,
Canadian Imperial Bank of Commerce,2023,145151000,,,
Canadian Imperial Bank of Commerce,2024,220799000,,,
Canadian Imperial Bank of Commerce,2025,297371000,,,
Canadian Imperial Bank of Commerce,2009,30070000,,,
National Bank of Canada,2010,-4959696,,,
National Bank of Canada,2011,24431048,,,
National Bank of Canada,2012,-9887692,,,
National Bank of Canada,2013,22136230,,,
National Bank of Canada,2014,43404122,,,
National Bank of Canada,2015,24410610,,,
National Bank of Canada,2016,18147344,,,
National Bank of Canada,2017,7397180,,,
National Bank of Canada,2018,30477437,,,
National Bank of Canada,2019,-3347017,,,
National Bank of Canada,2020,14206832,,,
National Bank of Canada,2021,18016268,,,
National Bank of Canada,2022,27431814,,,
National Bank of Canada,2023,128890291,,,
National Bank of Canada,2024,58395262,,,
National Bank of Canada,2025,-38918881,,,
National Bank of Canada,2009,-15780219,,,
Sun Life Financial Inc.,2016,3668000000,,,
Sun Life Financial Inc.,2017,1984000000,,,
Sun Life Financial Inc.,2018,3834000000,,,
Sun Life Financial Inc.,2019,2474000000,,,
Sun Life Financial Inc.,2020,7253000000,,,
Sun Life Financial Inc.,2021,-1857000000,,,
Sun Life Financial Inc.,2022,4311000000,,,
Sun Life Financial Inc.,2023,5612000000,,,
Sun Life Financial Inc.,2024,2532000000,,,
Sun Life Financial Inc.,2025,2799000000,,,
Canadian Tire Corporation Limited,2010,1353000000,,,
Canadian Tire Corporation Limited,2011,1353000000,,,
Canadian Tire Corporation Limited,2012,1512000000,,,
Canadian Tire Corporation Limited,2013,1488000000,,,
Canadian Tire Corporation Limited,2014,1384000000,,,
Canadian Tire Corporation Limited,2009,1194000000,,,
CAE Inc.,2017,464300000,,,
CAE Inc.,2018,403300000,,,
CAE Inc.,2019,530400000,,,
CAE Inc.,2020,545100000,,,
CAE Inc.,2021,366600000,,,
CAE Inc.,2022,418200000,,,
CAE Inc.,2023,408400000,,,
CAE Inc.,2024,566900000,,,
CAE Inc.,2025,896500000,,,
CGI Inc.,2010,1433700000,,,
CGI Inc.,2011,1766700000,,,
CGI Inc.,2012,1513800000,,,
CGI Inc.,2013,1548200000,,,
CGI Inc.,2014,1529800000,,,
CGI Inc.,2015,1679700000,,,
CGI Inc.,2016,1847800000,,,
CGI Inc.,2017,1910700000,,,
CGI Inc.,2018,2242800000,,,
CGI Inc.,2019,2352100000,,,
CGI Inc.,2020,2471600000,,,
CGI Inc.,2021,2786700000,,,
CGI Inc.,2022,3190000000,,,
CGI Inc.,2023,3618000000,,,
CGI Inc.,2024,3936000000,,,
CGI Inc.,2025,4296000000,,,
CGI Inc.,2009,1396500000,,,
CGI Inc.,2007,661300000,,,
CGI Inc.,2008,512200000,,,
OpenText Corporation,2010,180191000,,,
OpenText Corporation,2011,223221000,,,
OpenText Corporation,2012,266490000,,,
OpenText Corporation,2013,318502000,,,
OpenText Corporation,2014,417127000,,,
OpenText Corporation,2015,523031000,,,
OpenText Corporation,2016,525722000,,,
OpenText Corporation,2017,440353000,,,
OpenText Corporation,2018,708081000,,,
OpenText Corporation,2019,876278000,,,
OpenText Corporation,2020,954536000,,,
OpenText Corporation,2021,876120000,,,
OpenText Corporation,2022,981810000,,,
OpenText Corporation,2023,779205000,,,
OpenText Corporation,2024,967691000,,,
OpenText Corporation,2025,830618000,,,
OpenText Corporation,2009,176170000,,,
OpenText Corporation,2007,110864000,,,
OpenText Corporation,2008,165976000,,,
Agnico Eagle Mines Limited,2016,778617000,,,
Agnico Eagle Mines Limited,2017,767557000,,,
Agnico Eagle Mines Limited,2018,605650000,,,
Agnico Eagle Mines Limited,2019,881692000,,,
Agnico Eagle Mines Limited,2020,1192054000,,,
Agnico Eagle Mines Limited,2021,1345308000,,,
Agnico Eagle Mines Limited,2022,2096636000,,,
Agnico Eagle Mines Limited,2023,2601562000,,,
Agnico Eagle Mines Limited,2024,3960892000,,,
Agnico Eagle Mines Limited,2025,6817113000,,,
